participant,condition,object,trial_num,fragile_survived,peak_force_proxy,peak_depth_mm,time_to_first_contact_s,force_overshoot_proxy,approach_rate_mm_s,n_force_reversals_post_plateau,time_above_90pct_peak_s
P09,lra,fragile,2,1.0,,0.977,4.4249,,2.126343090033347,,
P09,lra,fragile,3,1.0,,0.984,2.8886,,0.4428349715468179,,
P09,lra,fragile,4,1.0,,0.5939,6.2277,,1.461119751166402,,
P09,lra,fragile,5,1.0,,0.9842,10.843,,4.5769031589849964,,
P09,em,deformable,1,,,0.2095,2.8231,,0.04096916299559471,,
P09,em,deformable,2,,,0.1676,5.3121,,0.1399176954732524,,
P09,em,deformable,3,,,0.1632,2.2191,,0.7554858934169268,,
P09,em,deformable,4,,,0.215,3.4851,,0.11375595088950143,,
P09,em,deformable,5,,,0.1653,3.085,,,,
P09,em,fragile,1,1.0,,0.9842,3.0899,,2.3164754953076145,,
P09,em,fragile,2,1.0,,0.9842,4.0131,,2.2323269513991137,,
P09,em,fragile,3,1.0,,0.9842,3.9557,,0.9980009995002501,,
P09,em,fragile,4,1.0,,0.9842,6.4242,,0.12210928757926137,,
P09,em,fragile,5,1.0,,0.9842,5.4327,,3.8214841722885247,,
P09,visual_only,deformable,1,,,0.1662,4.6217,,,,
P09,visual_only,deformable,2,,,0.1977,4.4942,,0.06920022688598976,,
P09,visual_only,deformable,3,,,0.1767,4.8895,,0.04114621601763408,,
P09,visual_only,deformable,4,,,0.1768,4.7604,,0.018786836935167004,,
P09,visual_only,deformable,5,,,0.1714,5.0828,,0.08168498168498146,,
P09,visual_only,fragile,1,1.0,,0.9842,4.833,,,,
P09,visual_only,fragile,2,1.0,,0.9842,4.0826,,2.7364771151178977,,
P09,visual_only,fragile,3,1.0,,0.9842,4.2923,,,,
P09,visual_only,fragile,4,1.0,,0.9842,3.3589,,6.097560975609756,,
P09,visual_only,fragile,5,0.0,,0.9842,3.2272,,2.8767624020887723,,
P10,lra,deformable,1,,,0.3318,2.6818,,0.48350226439508276,,
P10,lra,deformable,2,,,0.5962,1.6821,,0.7648578811369503,,
P10,lra,deformable,3,,,0.3774,1.2831,,0.6918271733472143,,
P10,lra,deformable,4,,,0.3769,2.1526,,0.3463338533541351,,
P10,lra,deformable,5,,,0.3633,2.9494,,0.44720379146919403,,
P10,lra,fragile,1,1.0,,0.901,5.2292,,,,
P10,lra,fragile,2,1.0,,0.969,2.7708,,1.6776564936511469,,
P10,lra,fragile,3,1.0,,0.3779,5.7536,,3.313271604938273,,
P10,lra,fragile,4,1.0,,0.7766,6.2892,,0.3423398482918997,,
P10,lra,fragile,5,1.0,,0.5961,3.2183,,2.9689011748445093,,
P10,em,deformable,1,,,0.578,1.82,,0.7774443610902726,,
P10,em,deformable,2,,,0.492,2.2891,,0.9170579029733947,,
P10,em,deformable,3,,,0.444,1.8891,,0.2128032008002,,
P10,em,deformable,4,,,0.3832,2.3457,,0.46375420067210776,,
P10,em,deformable,5,,,0.483,2.4218,,0.48104624715693745,,
P10,em,fragile,1,1.0,,0.9842,2.6825,,0.08034712146513728,,
P10,em,fragile,2,1.0,,0.9842,4.0913,,0.08924237789334148,,
P10,em,fragile,3,1.0,,0.4073,2.7581,,3.7335423197492372,,
P10,em,fragile,4,1.0,,0.9188,1.021,,0.12688993402986018,,
P10,em,fragile,5,0.0,,0.9842,2.6296,,0.11616455405094628,,
P10,visual_only,deformable,1,,,0.0,,,,,
P10,visual_only,deformable,2,,,0.0,,,,,
P10,visual_only,deformable,3,,,0.0,,,,,
P10,visual_only,deformable,4,,,0.0,,,,,
P10,visual_only,deformable,5,,,0.0,,,,,
P10,visual_only,fragile,1,1.0,,0.6828,2.9461,,1.534226190476191,,
P10,visual_only,fragile,2,1.0,,0.1914,4.8242,,,,
P10,visual_only,fragile,3,1.0,,0.7295,6.6281,,2.4548076923076905,,
P10,visual_only,fragile,4,1.0,,0.7303,3.7633,,1.7902973395931145,,
P10,visual_only,fragile,5,1.0,,0.6828,2.9461,,1.534226190476191,,
P11,lra,deformable,1,,,0.7187,3.8196,,0.44995544995544984,,
P11,lra,deformable,2,,,0.6536,3.0834,,0.9167612561483164,,
P11,lra,deformable,3,,,0.4997,2.2915,,0.577293461733401,,
P11,lra,deformable,4,,,0.5118,1.8762,,0.4932321880113044,,
P11,lra,deformable,5,,,0.4922,1.5483,,0.5479519657838461,,
P11,lra,fragile,1,0.0,,0.9842,3.2803,,2.964260929909787,,
P11,lra,fragile,2,1.0,,0.8053,4.494,,0.7526652452025586,,
P11,lra,fragile,3,1.0,,0.7436,2.8247,,1.042534205829864,,
P11,lra,fragile,4,1.0,,0.8048,3.8333,,2.0404040404040367,,
P11,lra,fragile,5,1.0,,0.7353,3.0261,,1.858667648141332,,
P11,em,deformable,1,,,0.1199,2.5551,,0.020394289598912322,,
P11,em,deformable,2,,,0.4142,4.1547,,1.2921498661909026,,
P11,em,deformable,3,,,0.3136,3.4905,,1.1812499999999986,,
P11,em,deformable,4,,,0.3403,2.8207,,0.47152847152847166,,
P11,em,deformable,5,,,0.4619,3.297,,1.635610766045555,,
P11,em,fragile,1,1.0,,0.8194,4.6852,,2.0183220829315354,,
P11,em,fragile,2,1.0,,0.5765,3.3546,,0.9683241252302022,,
P11,em,fragile,3,1.0,,0.8077,2.3649,,1.1485000000000003,,
P11,em,fragile,4,1.0,,0.804,3.2896,,1.2325231232523122,,
P11,em,fragile,5,1.0,,0.7428,2.6359,,0.8184322564487849,,
P11,visual_only,deformable,1,,,0.8537,2.5501,,1.1374485596707822,,
P11,visual_only,deformable,2,,,0.7628,1.8996,,2.2186520376175562,,
P11,visual_only,deformable,3,,,0.8033,1.6112,,2.8967339097022102,,
P11,visual_only,deformable,4,,,0.8347,1.6079,,1.195652173913044,,
P11,visual_only,deformable,5,,,0.8175,2.0081,,1.3026442307692312,,
P11,visual_only,fragile,1,0.0,,0.9842,4.5543,,1.8935474278917606,,
P11,visual_only,fragile,2,0.0,,0.9842,3.8191,,3.550667714061273,,
P11,visual_only,fragile,3,1.0,,0.6478,4.0213,,1.1963636363636367,,
P11,visual_only,fragile,4,1.0,,0.9723,3.4782,,1.06346153846154,,
P11,visual_only,fragile,5,1.0,,0.8552,4.3435,,1.6693459992692687,,
P12,lra,deformable,1,,,0.1631,5.8318,,0.0660326086956522,,
P12,lra,deformable,2,,,0.1514,2.9418,,,,
P12,lra,deformable,3,,,0.163,3.9518,,0.36850393700787426,,
P12,lra,deformable,4,,,0.1977,4.0863,,0.028515624999999975,,
P12,lra,deformable,5,,,0.1701,3.0877,,0.020228025009194572,,
P12,lra,fragile,1,1.0,,0.7688,5.092,,0.24622494142150475,,
P12,lra,fragile,2,1.0,,0.5374,4.9544,,0.0815212606743551,,
P12,lra,fragile,3,1.0,,0.7709,2.3503,,1.063191153238541,,
P12,lra,fragile,4,1.0,,0.9842,8.5671,,0.17044854881266486,,
P12,lra,fragile,5,1.0,,0.7687,10.0296,,0.4039693207875387,,
P12,em,deformable,1,,,0.1632,2.1037,,,,
P12,em,deformable,2,,,0.2119,3.7424,,0.11239470517448862,,
P12,em,deformable,3,,,0.2841,8.9047,,0.5735140771637104,,
P12,em,deformable,4,,,0.1783,2.4796,,0.02177722152690866,,
P12,em,deformable,5,,,0.1632,2.342,,0.7304785894206536,,
P12,em,fragile,1,1.0,,0.4969,4.158,,1.8932190179267427,,
P12,em,fragile,2,1.0,,0.8539,3.5513,,0.9836383207750276,,
P12,em,fragile,3,1.0,,0.7138,3.1567,,0.2823512524223068,,
P12,em,fragile,4,1.0,,0.8552,2.6208,,4.534542916957432,,
P12,em,fragile,5,1.0,,0.4643,3.6907,,1.439942112879884,,
P12,visual_only,deformable,1,,,0.2215,3.6143,,0.058675373134328364,,
P12,visual_only,deformable,2,,,0.2976,2.4882,,0.34117647058823514,,
P12,visual_only,deformable,3,,,0.1022,5.6943,,,,
P12,visual_only,deformable,4,,,0.2943,2.8099,,0.10532192035727574,,
P12,visual_only,deformable,5,,,0.3871,2.7483,,0.1419451236077153,,
P12,visual_only,fragile,1,0.0,,0.9842,5.6286,,2.5499219968798643,,
P12,visual_only,fragile,2,0.0,,0.9842,11.2223,,,,
P12,visual_only,fragile,3,1.0,,0.9842,5.9029,,,,
P12,visual_only,fragile,4,1.0,,0.9842,5.8367,,4.741406250000028,,
P12,visual_only,fragile,5,1.0,,0.0,,,,,
P13,lra,deformable,1,,,0.3064,2.4983,,0.6763664962642544,,
P13,lra,deformable,2,,,0.2072,1.8221,,0.2282608695652172,,
P13,lra,deformable,3,,,0.2218,1.7553,,0.1786245906519797,,
P13,lra,deformable,4,,,0.255,2.2187,,0.12467532467532472,,
P13,lra,deformable,5,,,0.2014,2.1583,,0.3918495297805637,,
P13,lra,fragile,1,0.0,,0.9842,1.8821,,,,
P13,lra,fragile,2,1.0,,0.7004,2.7463,,1.3006714747575234,,
P13,lra,fragile,3,0.0,,0.9842,2.5531,,2.047058823529413,,
P13,lra,fragile,4,0.0,,0.9842,3.6314,,,,
P13,lra,fragile,5,1.0,,0.9842,2.7709,,0.674624226348365,,
P13,em,deformable,1,,,0.2342,3.034,,0.1068416119962511,,
P13,em,deformable,2,,,0.1632,2.2965,,,,
P13,em,deformable,3,,,0.1632,3.4815,,0.4748743718592958,,
P13,em,deformable,4,,,0.1632,2.8852,,,,
P13,em,deformable,5,,,0.1631,2.683,,,,
P13,em,fragile,1,1.0,,0.7726,5.6311,,2.4185362265538837,,
P13,em,fragile,2,0.0,,0.9842,3.2777,,2.6414122839279144,,
