participant,condition,object,trial_num,fragile_survived,peak_force_proxy,peak_depth_mm,time_to_first_contact_s,force_overshoot_proxy,approach_rate_mm_s,n_force_reversals_post_plateau,time_above_90pct_peak_s
P04,tactiles,fragile,3,1.0,24896.7715,0.9842,1.8163,2130.4961000000003,4.302652106084245,17.0,1.472
P04,tactiles,fragile,4,1.0,20626.3027,0.9842,2.9026,9874.6289,1.0035938903863428,7.0,0.06409999999999982
P04,tactiles,fragile,5,1.0,29227.8184,0.9842,2.1559,18017.7627,1.26291079812206,7.0,0.14389999999999992
P04,visual_only,deformable,1,,3868.3577,0.7629,2.6876,2456.916,1.2854914196567895,1.0,0.25519999999999987
P04,visual_only,deformable,2,,3135.314,0.7743,2.5482,125.92119999999977,1.1379807692307684,6.0,0.4634999999999998
P04,visual_only,deformable,3,,4605.0439,0.7604,1.7632,1839.5765999999999,1.5029354207436407,5.0,0.1926000000000001
P04,visual_only,deformable,4,,4191.749,0.7523,2.8351,1418.0962,2.305323590814199,5.0,0.7196000000000002
P04,visual_only,deformable,5,,2706.8049,0.6825,2.6921,1002.1732000000002,0.6842445114076627,5.0,0.40090000000000003
P04,visual_only,fragile,1,1.0,19841.9844,0.9842,4.0249,8680.773500000001,6.826562499999993,10.0,1.0716999999999999
P04,visual_only,fragile,2,1.0,27078.3047,0.9842,4.4893,14478.733400000001,6.006191950464439,3.0,0.7359
P04,visual_only,fragile,3,1.0,15130.1973,0.9842,4.0821,1197.0527999999995,1.1554033938672206,19.0,2.2729
P04,visual_only,fragile,4,1.0,30671.7051,0.9842,2.5588,11560.2676,6.550735863671584,3.0,0.5446
P04,visual_only,fragile,5,1.0,23385.0742,0.9842,3.0969,8671.238299999999,5.671083398285275,13.0,1.5358
P05,lra,deformable,1,,615.5977,0.2239,4.9586,21.60080000000005,0.09257329959815447,1.0,0.1280000000000001
P05,lra,deformable,2,,504.6348,0.2064,3.8849,0.0,0.01312145491165973,0.0,0.2071000000000005
P05,lra,deformable,3,,818.6753,0.2808,4.6273,0.0,0.0770979743695742,2.0,0.4155999999999995
P05,lra,deformable,4,,2479.437,0.4609,4.5487,0.0,0.2242592197825623,0.0,0.12819999999999965
P05,lra,deformable,5,,6846.9844,0.5758,2.9538,713.1983,0.31649054918886743,1.0,0.06390000000000029
P05,lra,fragile,1,1.0,6969.5679,0.7284,5.6199,0.0,0.5661697036628018,4.0,0.4168000000000003
P05,lra,fragile,2,1.0,16159.9258,0.8551,7.6314,253.03620000000046,1.4895586652314312,1.0,0.20809999999999995
P05,lra,fragile,3,1.0,6125.4399,0.7046,6.7492,296.41110000000026,2.502777777777776,9.0,0.7519
P05,lra,fragile,4,1.0,6327.0093,0.7245,4.4833,0.0,0.8113254823352548,2.0,0.41690000000000005
P05,lra,fragile,5,1.0,8143.813,0.8052,4.0257,2258.5986000000003,2.3957115009746595,5.0,0.6242999999999999
P05,tactiles,deformable,1,,195.0117,0.1631,2.6882,55.22789999999998,0.11244143675169191,4.0,0.06450000000000022
P05,tactiles,deformable,2,,1827.8722,0.3911,4.0862,257.79909999999995,0.7199404761904755,3.0,0.2077
P05,tactiles,deformable,3,,932.3301,0.2959,4.5614,0.0,0.08309903155263978,0.0,0.12919999999999998
P05,tactiles,deformable,4,,632.963,0.2222,3.5623,43.82069999999999,0.08604302151075534,9.0,0.2079999999999993
P05,tactiles,deformable,5,,401.3274,0.1838,4.5618,80.10820000000001,0.13437499999999983,5.0,0.14430000000000032
P05,tactiles,fragile,1,1.0,13263.2168,0.9842,2.9601,935.0352000000003,1.873923257635083,3.0,0.7515000000000001
P05,tactiles,fragile,2,1.0,320.9321,0.1632,3.6916,154.2608,,3.0,0.19179999999999975
P05,tactiles,fragile,3,1.0,13985.4062,0.9558,4.09,0.0,1.5565142364106974,0.0,0.27249999999999996
P05,tactiles,fragile,4,1.0,13530.4072,0.8435,4.7002,4262.126899999999,1.298344267416432,1.0,0.3517000000000001
P05,tactiles,fragile,5,1.0,18117.3555,0.8552,3.3526,6488.035200000002,0.7215384615384564,1.0,0.3205
P05,visual_only,deformable,1,,321.5365,0.1672,4.8271,219.54149999999998,,5.0,0.25570000000000004
P05,visual_only,deformable,2,,229.3806,0.1631,6.348,156.84709999999998,,5.0,0.3833000000000002
P05,visual_only,deformable,3,,263.767,0.1625,3.7511,103.7242,,2.0,0.0647000000000002
P05,visual_only,deformable,4,,1347.292,0.3415,2.6868,0.0,1.412822517591865,0.0,0.14469999999999983
P05,visual_only,deformable,5,,7019.3394,0.5747,4.5642,0.0,2.119729307652255,0.0,0.1277999999999997
P05,visual_only,fragile,1,0.0,36205.6641,0.9842,2.8899,5536.328200000004,0.902903946388682,1.0,0.12840000000000007
P05,visual_only,fragile,2,1.0,21296.1836,0.9842,5.0139,1215.8574000000008,2.26952748312439,5.0,0.8001999999999994
P05,visual_only,fragile,3,1.0,26402.8223,0.9842,3.2166,4684.966799999998,3.2490421455938745,12.0,0.9447000000000001
P05,visual_only,fragile,4,1.0,1466.7764,0.374,3.5585,0.0,2.2445482866043602,6.0,0.06309999999999993
P05,visual_only,fragile,5,1.0,24195.2559,0.9842,3.7496,7128.6954000000005,,1.0,0.2887000000000004
P06,lra,deformable,1,,846.9039,0.2803,6.6263,0.0,0.639175257731958,20.0,0.14340000000000064
P06,lra,deformable,2,,715.9575,0.2392,3.828,5.833999999999946,0.031658331989030494,3.0,0.40059999999999985
P06,lra,deformable,3,,936.68,0.3482,2.4163,3.5273999999999432,0.22222222222222227,7.0,0.24009999999999998
P06,lra,deformable,4,,741.0669,0.2729,3.2891,42.224699999999984,0.08219286448856893,5.0,0.3356999999999992
P06,lra,deformable,5,,431.4547,0.3456,3.0813,31.376300000000015,0.1999666722212964,1.0,0.15969999999999995
P06,lra,fragile,1,1.0,3896.6802,0.6032,3.3562,3087.3841999999995,3.3136792452830135,8.0,1.0561999999999996
P06,lra,fragile,2,1.0,5274.0332,0.5814,3.8872,0.0,0.670013260087138,2.0,0.6089000000000002
P06,lra,fragile,3,1.0,23908.2461,0.9842,4.626,10313.522500000001,3.369992144540457,3.0,0.5927000000000007
P06,lra,fragile,4,1.0,11207.9062,0.9062,4.7574,0.0,1.7245908699397057,2.0,0.39979999999999993
P06,lra,fragile,5,1.0,29310.7559,0.9842,1.4292,11014.1875,7.199821587867983,5.0,0.6076000000000001
P06,tactiles,deformable,1,,222.9361,0.1632,3.8269,158.3942,,4.0,0.07969999999999988
P06,tactiles,deformable,2,,354.047,0.1736,6.1694,42.18890000000005,0.046826222684703406,6.0,0.12729999999999997
P06,tactiles,deformable,3,,956.8904,0.3444,4.293,32.62289999999996,0.5380536494073617,19.0,0.20779999999999976
P06,tactiles,deformable,4,,1125.7197,0.3813,4.0998,16.92360000000008,0.4111174350218175,5.0,0.25649999999999995
P06,tactiles,deformable,5,,543.9985,0.3632,3.4133,0.0,0.33949468085106377,6.0,0.4007999999999994
P06,tactiles,fragile,1,1.0,16269.6455,0.9842,4.2285,7230.7353,1.584542271135568,5.0,0.1440999999999999
P06,tactiles,fragile,2,0.0,25867.1211,0.9842,4.6867,7150.898400000002,,3.0,0.14459999999999962
P06,tactiles,fragile,3,1.0,23274.709,0.9842,6.2999,9765.0811,1.905651340996168,25.0,0.3036000000000003
P06,tactiles,fragile,4,1.0,10414.6572,0.7776,5.0285,135.1356999999989,0.497017892644135,3.0,0.3995999999999995
P06,tactiles,fragile,5,1.0,4190.522,0.662,5.6162,8.136700000000019,0.508462104488595,8.0,0.8644000000000007
P06,visual_only,deformable,1,,458.7764,0.2508,5.0225,1.6665000000000418,0.14804186360567198,4.0,0.39860000000000007
P06,visual_only,deformable,2,,169.1049,0.1785,2.9541,4.017699999999991,0.22278405710886387,8.0,0.5922000000000001
P06,visual_only,deformable,3,,217.8788,0.1783,3.2906,5.981100000000026,0.07271305707584058,8.0,0.7364999999999999
P06,visual_only,deformable,4,,79.8458,0.1626,5.5003,2.4757999999999925,,1.0,0.12819999999999965
P06,visual_only,deformable,5,,0.0,0.0,,,,,
P06,visual_only,fragile,1,1.0,23259.1875,0.9842,3.7732,11840.2715,3.4537366548042687,17.0,1.1360000000000001
P06,visual_only,fragile,2,1.0,17587.332,0.9842,3.0807,2493.710899999998,3.215361999264981,15.0,1.2641000000000004
P06,visual_only,fragile,3,1.0,25690.1016,0.9842,2.3414,123.57230000000345,3.4142581888246664,11.0,1.2802000000000002
P06,visual_only,fragile,4,1.0,73.9787,0.2038,2.4213,0.0,1.4616588419405359,2.0,0.06440000000000001
P06,visual_only,fragile,5,0.0,31101.9941,0.9842,2.0171,24517.7275,3.1193502824858768,9.0,0.5440999999999998
P07,lra,deformable,1,,9430.9482,0.7739,3.8882,0.0,0.44067553000359316,0.0,0.0799000000000003
