participant,condition,object,n_trials,peak_force_proxy,peak_depth_mm,time_to_first_contact_s,force_overshoot_proxy,approach_rate_mm_s,n_force_reversals_post_plateau,time_above_90pct_peak_s,fragile_survived
P18,lra,fragile,5,25137.1738,0.9842,6.2848,20.120100000000093,1.384525022210733,12.0,0.4006999999999996,1.0
P18,tactiles,deformable,5,2763.1396,0.9261,4.4267,72.1582000000003,0.6169294852722403,21.0,0.9919000000000002,
P18,tactiles,fragile,5,9427.416,0.7091,5.7633,72.1667,1.1120516877637125,17.0,0.6725000000000012,1.0
P18,visual_only,deformable,5,3382.7314,0.9587,4.684,3.3871999999992113,0.669026401265928,7.0,0.8002000000000002,
P18,visual_only,fragile,5,18759.4531,0.9607,5.0228,0.0,0.5205399550037497,4.0,0.4634999999999998,1.0
P19,lra,deformable,5,3621.5063,0.9835,0.0136,504.6885000000002,0.2620699676681077,32.0,0.3203999999999998,
P19,lra,fragile,5,18528.0977,0.9842,0.6166,0.0,0.5038128547675018,54.0,0.20609999999999973,1.0
P19,tactiles,deformable,5,3973.5901,0.9842,3.4178,206.11889999999994,4.250781249999997,3.0,0.49549999999999983,
P19,tactiles,fragile,5,22006.0684,0.9842,5.5639,0.0,3.198285936891308,1.0,0.14399999999999924,0.0
P19,visual_only,deformable,5,4395.2109,0.9736,0.0151,435.71270000000004,0.259817367452519,29.0,0.4003999999999994,
P19,visual_only,fragile,5,27255.0625,0.9842,2.2233,0.0,9.679865444617777,12.0,0.09579999999999989,0.0
P20,lra,deformable,5,1799.3325,0.7717,2.5463,28.19309999999996,0.9517593643586834,4.0,0.5276000000000001,
P20,lra,fragile,5,20308.4746,0.909,4.3615,36.25879999999961,0.8451056098114919,11.0,0.4631999999999996,1.0
P20,tactiles,deformable,5,1455.0902,0.7647,2.3593,0.0,0.7220533603512332,1.0,0.12810000000000032,
P20,tactiles,fragile,5,14666.8613,0.7876,5.5589,25.430499999999995,0.6361525106798784,10.0,0.9912000000000001,1.0
P20,visual_only,deformable,5,2288.582,0.8906,2.4908,24.21199999999999,1.5665316297912124,7.0,1.0085000000000002,
P20,visual_only,fragile,5,19885.334,0.9842,1.9515,1598.4219000000012,2.0693430656934337,19.0,0.7366999999999999,1.0
